,title,author,count,asin_list,narrator_count,narrator_list
20,Treasure Island,Robert Louis Stevenson,29,"['B079DWGKL8', 'B002V8H18I', 'B00C5QLSUS', 'B002V0QN30', 'B07NY75W34', 'B00TA7KTNW', 'B0036IYNAQ', 'B072KH4K37', 'B002V9ZAOE', 'B002V1A4PM', 'B0186E3K6C', 'B079SM7S6G', 'B007PSX46C', 'B002VA3D6U', 'B07BZGW47V', 'B077P2FTNV', 'B072DVXGDS', 'B00UO5MJHI', 'B00A80J2CE', 'B0077E2HL2', 'B002V5J3FA', 'B0037YK8YO', 'B007H9N60S', 'B00AEVZRO4', 'B071WMD8XW', '0473434784', 'B002UZNAZA', 'B002UZJSLA', 'B084Q8S24L']",29,"['Robin Field', 'Charlton Griffin', 'John Chatty', 'Frederick Davidson', 'Michael Page', 'Neil Hunt', 'Michael Prichard', 'Taylor Pepper', 'Jim Hodges', 'Gildart Jackson', 'Grover Gardner', 'David Buck', 'Benjamin Luxon', 'Adrian Praetzellis', 'Tim Gregory', 'Hans Conried', 'Timothy West', 'Mark Smith', 'Kara Shallenberg', 'Austin Vanfleet', 'Jasper Britton', 'Gabriel Woolf', 'Alan Munro', 'Chris Hendrie', 'David McCallion', 'Lawrence Skinner', 'Illia Vasilets', 'David Ian Davies', 'Richard Williams']"
23,The Adventures of Tom Sawyer,Mark Twain,26,"['B005LXVD1Q', 'B0036GPL9A', 'B005E0QOVK', 'B00BLMWRS4', 'B00EUD8N3E', 'B071JCH93B', 'B007PTAC8Y', 'B002V0K9SU', '1982736925', 'B002V5CRGC', 'B002V0GIZ8', 'B00Q3HEB90', 'B002UZYY6Y', 'B0056IL0AU', 'B06XGNVRS4', 'B002V9ZGZW', 'B07PN6CNYL', 'B01HQMQLWK', 'B002V8MYY4', 'B00SZ4693U', 'B00JZSOKG8', 'B00OQP4BW8', 'B071K8JXWP', 'B002V02E74', '1467610410', '3991025108']",24,"['Robin Field', 'Christopher Hurt', 'Gregg Rizzo', 'John Greenman', 'Nick Offerman', 'Rashid Raza', 'Norman Dietz', 'Richard Henzel', 'Grover Gardner', 'Robin Nixon', 'Parzaan Dastur', 'Bob Hollands', 'Ian Lynch', 'Eric G. Dove', 'Henry Adams', 'Curtis Sisco', 'Chris Hendrie', 'Thomas Becker', 'Garrick Hagon', 'Patrick Fraley', 'B. J. Harrison', 'William Dufris', 'Dick Hill', 'Matt Armstrong']"
24,The Picture of Dorian Gray,Oscar Wilde,26,"['B002UZLN04', 'B075VF1R27', 'B01ESJS5RI', 'B074ZSTCTK', 'B002UZLLDI', 'B003IXFT98', 'B018470Z96', 'B002VAEOY0', 'B0036ILGKG', 'B01B6WNSRC', 'B07D42N48W', 'B002UZL304', 'B0033C8FUE', 'B00UI4L2OQ', 'B005ESYP2M', 'B0036MUJK0', 'B072M37TM9', 'B002V1NGB6', 'B002V8OC80', 'B01E62NCB6', 'B00GWNWEJY', 'B008D5EEOC', 'B003XSAQGO', 'B073JPKQPJ', 'B0036FX4PO', '3991011751']",24,"['Michael Page', 'Kate Petrie', 'Peter Batchelor', 'George Doyle', 'Steven Crossley', 'Grenville Peter Mills', 'Paul Lincoln', 'David Brown', 'Don Hagen', 'Simon Vance', 'Russell Tovey', 'Simon Prebble', 'Alec Sand', 'Stephen Fry', ""Gerry O'Brien"", 'Bob Neufeld', 'Greg Wise', 'Peter Silverleaf', 'David McCallion', 'Edward Petherbridge', 'Crispin Bonham-Carter', 'John Moffatt', 'Flo Gibson', 'Dick Hill']"
31,Persuasion,Jane Austen,25,"['B002V8L5OE', '2291041657', 'B002V8KJ82', 'B00HI1DR5Y', 'B07TKD3RWT', 'B01847AXAW', 'B002V5BHSG', 'B01N9OIRJD', '2291052187', 'B01B38GBC8', 'B06XG3CH4R', 'B00QPRC9XS', 'B002V0LT7K', 'B002V19U02', 'B072JX6J3X', 'B00IXXMP9U', 'B007ZGPF5M', 'B002V1A4XE', 'B00QHGXNUU', 'B073JP6279', 'B00PZKW00I', 'B00AZ2PLXO', 'B07TJ8CY69', '109424399X', '3991017083']",24,"['Mary Sarah', 'Michael Page', 'Elizabeth Nash', 'Glenda Jackson', 'Anne Flosnik', 'Olivia Williams', 'Elizabeth Klett', 'Rosalyn Landor', 'Sarah Jane Barry', 'Alice Marti', 'Magda Allani', 'Marion Castle', 'Greta Scacchi', 'Helen Stainer', 'Hiral Varsani', 'Peta Johnson', 'Harriet Stevens', 'Juliet Stevenson', 'Alice Johnson', 'Margaret Melosh', 'Paula Roscoe', 'Flo Gibson', 'Geraldine McEwan', 'Nadia May']"
32,Great Expectations,Charles Dickens,25,"['B005ZIMPJG', 'B07DK84WFP', 'B07KT3HB89', 'B002V57X02', 'B07SSD6Z8Y', 'B002V8HEWG', 'B002VACHWQ', 'B002V1CD6K', 'B017US8U2E', 'B009HZJNR0', 'B01N6EETR6', 'B077SH2HJC', 'B002UZJCYI', 'B00QMTQEFS', 'B07F1Y2FFF', 'B002V8N33A', 'B00JS8LJC8', 'B002UZKV3O', 'B0035ANA7W', 'B0091INXBA', 'B004YX3G5U', '1606461613', '0473434830', '3991018985', 'B083B8RZWN']",23,"['Charlton Griffin', 'Michael Page', 'Anton Lesser', 'Peter Batchelor', 'Gildart Jackson', 'Graham Scott', 'Simon Vance', 'Simon Prebble', 'Frank Muller', 'Andrew Timothy', 'Sarah Jane Barry', 'Tadhg Hynes', 'Gene Engene', 'Peter Silverleaf', 'Eddie Izzard', 'Mil Nicholson', 'Rob Goll', 'Lawrence Skinner', 'Philippe Duquenoy', 'David Ian Davies', 'Martin Jarvis', 'Flo Gibson', 'Dick Hill']"
37,The Hound of the Baskervilles,Arthur Conan Doyle,23,"['B00BWX2C3M', 'B00CA5G0ZM', 'B07BLPFVRH', 'B007A331ZQ', 'B00R3NFJJ4', 'B007TX411U', 'B015RYOCB6', 'B010N0RV6W', 'B002V086PI', 'B00T576HBA', 'B002V0Q7VI', 'B0036HXZCO', 'B00K5Y2XS8', 'B077T8FF71', 'B002V8MS8G', 'B07FTXLVZ4', 'B007I83VG2', 'B004AHBYEU', 'B0784Z5WRW', 'B002V8L9WM', 'B06XTCHRN2', '2291052810', '2291064029']",22,"['Frederick Davidson', 'Charlton Griffin', 'Michael Page', 'George Doyle', 'David Case', 'Rashid Raza', 'Grover Gardner', 'B.J. Harrison', 'JD Kelly', 'Simon Prebble', 'Tom Morrissey', 'Bob Neufeld', 'Walter Covell', 'Gene Engene', 'Patrick Tull', 'John Pether', 'Stephen Scalon', 'John Tatlock', 'David Timson', 'Grahame Stevens', 'Shane Sody', 'Felbrigg Napoleon Herriot']"
41,Pride and Prejudice,Jane Austen,22,"['B002UZMURE', 'B07TLCK551', 'B009KSQRGO', 'B002V0LQ46', 'B071S17YLK', 'B00AEW0NVU', 'B01N4JBSNG', 'B002V5CWJ4', 'B00BCL3M42', 'B002V01ILM', 'B01B518O1O', 'B00QMXA8OW', 'B003ACK4MO', 'B07DD352R8', 'B06ZYZ19G3', 'B01NCIJO42', 'B002V1NS96', 'B00YI1DIRE', 'B07BS9BRZC', 'B06WP37HPH', 'B002V8MFX4', 'B0042GYTZK']",21,"['Steve Patriarca', 'Josephine Bailey', 'Helen Lisanti', 'Anne Flosnik', 'Elizabeth Klett', 'Rosalyn Landor', 'Alice Marti', 'Shiromi Arserio', ""Catherine O'Brien"", 'Margarite Gavin', 'Joanna David', 'Helen Stainer', 'Harriet Stevens', 'Syvia Dorham', 'Emilia Fox', 'Flo Gibson', 'Sharon Williams', 'Karen Savage', 'Claire King', 'Victoria Mcgee', 'Kate Reading']"
42,White Fang,Jack London,22,"['B002V8MC7S', 'B00RUEF1NU', 'B01FUFEDXE', 'B00570PQ8Y', 'B00DGDA2PG', 'B007RQ1TFU', 'B00AJRVHP6', 'B07BSPP4BZ', '0473434741', 'B002V1CCT8', 'B002V8L9SQ', 'B075XYWWJF', 'B00GULVK84', 'B002V08E5A', 'B07H39R9NZ', 'B078478BKC', 'B0075927EG', 'B00GG0EA1S', 'B002V1A63C', 'B003FK0WQE', 'B071VKHXV3', '1094244678']",21,"['Kevin Theis', 'Pat Bottino', 'Curt Palmer', 'Mark F. Smith', 'Jonathan Kent', 'Norman Dietz', 'John Michaels', 'John L Chatty', 'Seth Thompson', 'John Lee', 'Mark Smith', 'Matthew Steward', 'Gene Engene', 'Bob Thomley', 'Peter Husmann', 'Michael A. Smith', 'Alan Munro', 'Lawrence Skinner', 'Flo Gibson', 'William Dufris', 'Felbrigg Napoleon Herriot']"
44,The Adventures of Huckleberry Finn,Mark Twain,22,"['229105984X', 'B071ZQRNG4', 'B00Z7PYZPE', 'B005E0QPOQ', 'B004G7OGEO', 'B002V5BHZO', 'B00846X17G', 'B072Q1GJ4Q', 'B0195A4312', 'B0794FW851', 'B002V0CBFY', 'B007PTA69E', 'B00EZ6KGSG', 'B0057AOV4Y', 'B002V1LMEY', 'B002V8MAFW', 'B0043AAAXU', 'B002V0M25I', 'B005PYUIB2', '198273969X', 'B07L6N6ZY4', 'B084MMYRY6']",21,"['Robin Field', 'Sharon Plummer', 'John Greenman', 'Mark F. Smith', 'Don Hagen', 'Jim Killavey', 'Norman Dietz', 'Eric G. Dove', 'Henry Adams', 'Denny Delk', 'Alan Munro', 'Jim Donaldson', 'Lawrence Skinner', 'Johnny Heller', 'William Fortier', 'Patrick Fraley', 'Tom Parker', 'William Dufris', 'Dick Hill', 'Sam Ryan', 'Matt Armstrong']"
47,A Tale of Two Cities,Charles Dickens,21,"['B00722LEVI', 'B011SV9D0C', 'B017DOVOB4', 'B002V8HA5C', 'B002V8L8YQ', 'B005PZZDES', 'B004TC0UI2', 'B01J29OJAQ', 'B00QMTPZDA', 'B00BQJA1KS', 'B07FB33M1N', 'B002V0QGNW', 'B073QM8TLW', 'B06XXKHDLF', 'B0163IE8UA', 'B00T576RTC', 'B07BBTMFQS', 'B004DJS3GC', 'B00GWO139A', 'B0045ZXF3A', '1467610577']",20,"['Charlton Griffin', 'Peter Batchelor', 'George Doyle', 'Gildart Jackson', 'Andrew Sachs', 'Simon Prebble', 'Jon Smith', 'Roger Watson', 'Buck Schirner', 'Ian Richardson', 'Jack Sondericker', 'Richard Pasco', 'Rob Goll', 'Jim Donaldson', 'Philippe Duquenoy', 'Paul Adams', 'David Butler', 'Martin Jarvis', 'Flo Gibson', 'Dick Hill']"
